Date,Rep,Trt,Plug,Dist_I_P(unit:mm),Dist_P_E(unit:mm),IsNAorNot
15,5,100-150,WA,19.68,5.75,FALSE
15,5,100-150,100,21.84,4.57,FALSE
15,5,100-150,150,22.25,8.98,FALSE
15,4,100-200,WA,19.6,3.76,FALSE
15,4,100-200,100,22.42,5.7,FALSE
15,4,100-200,200,21.52,9.79,FALSE
15,1,25-100,WA,21.68,1.73,FALSE
15,1,25-100,25,20.66,1.99,FALSE
15,1,25-100,100,19.31,7.11,FALSE
15,2,25-100,WA,20.54,2.59,FALSE
15,2,25-100,25,22.3,1.87,FALSE
15,2,25-100,100,21.27,6.51,FALSE
15,3,25-100,WA,19.65,3.93,FALSE
15,3,25-100,25,21.96,3.39,FALSE
15,3,25-100,100,21,6.69,FALSE
15,4,25-100,WA,19.25,3.07,FALSE
15,4,25-100,25,21.41,5.01,FALSE
15,4,25-100,100,19.72,3.93,FALSE
15,5,25-100,WA,19.98,3.8,FALSE
15,5,25-100,25,22.12,2.81,FALSE
15,5,25-100,100,19.56,5.56,FALSE
15,1,50-200,WA,19.69,4.17,FALSE
15,1,50-200,50,20.29,7.3,FALSE
15,1,50-200,200,20.32,13.72,FALSE
15,2,50-200,WA,19.54,6.13,FALSE
15,2,50-200,50,21.87,9.06,FALSE
15,2,50-200,200,22.5,9.7,FALSE
15,3,50-200,WA,19.75,7.97,FALSE
15,3,50-200,50,21.55,6.77,FALSE
15,3,50-200,200,20.53,11.11,FALSE
15,4,50-200,WA,19.97,7.05,FALSE
15,4,50-200,50,20.64,8.74,FALSE
15,4,50-200,200,21.63,10.47,FALSE
15,5,50-200,WA,19.67,5.37,FALSE
15,5,50-200,50,21.32,9.29,FALSE
15,5,50-200,200,20.73,9.16,FALSE
